Pool ID,Quote Asset,Pair Asset,Liquidity,Spread Collected,Swap APR,External $ Per Day,External APR,Is Matched,Current Share,Current Osmo APR,Daily OSMO Spend,Dollar Equivalent Daily Spend,Current Total APR
,,,85919568,15688.6075,0.066647701691191,4302.140214724,,,,,36529.6803652968,25638.101552511416,
1135,OSMO,ATOM,26509666,4863.070857142858,0.06695749629049054,0,0.0,False,0.0,0.0,0.0,0.0,0.06695749629049054
833,OSMO,stOSMO,18631218,93.82071428571429,0.0018380205048476013,0,0.0,False,0.0,0.0,0.0,0.0,0.0018380205048476013
1136,ATOM,stATOM,17480500,3560.486571428571,0.07434441798412109,0,0.0,False,0.0,0.0,0.0,0.0,0.07434441798412109
1133,OSMO,USDC.axl,6909138,3123.0865714285715,0.16498825158383412,0,0.0,False,0.0,0.0,0.0,0.0,0.16498825158383412
1220,USDC,USDT,6189950,37.62471428571428,0.0022185996194291897,4015.383970084,0.2367733421240333,False,0.0040515754605929535,0.0061251329386854585,148.00275655134075,103.87470310634535,0.24511707468214797
1134,OSMO,ETH,4591116,765.7477142857143,0.06087799038714895,0,0.0,False,0.0,0.0,0.0,0.0,0.06087799038714895
1090,OSMO,WBTC,4099756,692.104,0.061617803596116454,0,0.0,False,0.0,0.0,0.0,0.0,0.061617803596116454
1066,OSMO,DAI,673880,90.37457142857144,0.04895043415953668,0,0.0,False,0.0,0.0,0.0,0.0,0.04895043415953668
1221,OSMO,USDC,629253,2171.2591428571427,1.2594450676323468,0,0.0,False,0.07802020312628323,1.160273864690696,2850.053082238657,2000.2898908992186,2.419718932323043
1077,OSMO,USDT,140731,223.7137857142857,0.5802241992575501,286.75624464000003,0.7437311558476811,False,0.0019984122204276056,0.1328844095448232,73.0013596503235,51.235495451102786,1.4568397646500544
1107,OSMO,stIBCX,26623,1.785857142857143,0.024484012212855694,0,0.0,False,0.0,0.0,0.0,0.0,0.024484012212855694
1078,USDT,ATOM,24555,53.22428571428572,0.7911571690374379,0,0.0,False,0.002682799967149388,1.0224146923657245,98.00182528399591,68.78189800285031,1.8135718614031624
1076,OSMO,USDT,7750,8.625428571428571,0.40622986175115205,0,0.0,False,0.0029839305757069726,3.6030122607549697,109.00203016281178,76.50231512561922,4.009242122506122
1079,USDT,ATOM,5432,3.6832857142857143,0.2474961866189775,0,0.0,False,0.0029839305757069726,5.140527433882735,109.00203016281178,76.50231512561922,5.388023620501712
