0,26000000
1,9448209
2,5668925
3,3779283
4,119613
5,71768
6,47845
7,192162
8,115297
9,76864
10,80836
11,48502
12,32334
13,85947
14,51568
15,34378
16,42044
17,25226
18,16817
19,28086
20,16851
21,11234
22,1560
23,936
24,624
25,1133785
26,680271
27,453514
28,74203
29,44522
30,29681
37,96054
38,57632
39,38421
43,148296
44,88978
45,59318
64,2033
65,1220
66,813
124,18549
125,11129
126,7419
558,67
559,40
560,26
600,2856
601,1713
602,1142
1392,13996
1393,8397
1394,5598
1398,103578
1399,62147
1400,41431
1401,832
1402,499
1403,332
1453,258214
1454,154928
1455,103285
1456,2535
1457,1521
1458,1014
1507,747262
1508,448357
1509,298905
1510,320539
1511,192323
1512,128215
1661,1713
1662,1028
1663,685
1685,229
1686,137
1687,91
1697,2074
1698,1244
1699,829
1709,1086
1710,651
1711,434
1753,3326
1754,1995
1755,1330
1765,8846
1766,5307
1767,3538
1768,832
1769,499
1770,332
1783,84314
1784,50588
1785,33725
1810,473875
1811,284325
1812,189550
1813,217811
1814,130686
1815,87124
1816,27290
1817,16374
1818,10916
1873,77570
1874,46542
1875,31028
1876,298030
1877,178818
1878,119212
1897,26269
1898,15761
1899,10507
1911,284203
1912,170521
1913,113681
1915,19547
1916,11728
1917,7818
1924,39872
1925,23923
1926,15948
1942,74370
1943,44622
1944,29748
1966,797
1967,478
1968,319
1986,7884
1987,4730
1988,3153
1992,1943
1993,1166
1994,777
2027,14451
2028,8670
2029,5780
2043,7511
2044,4507
2045,3004
2046,21556
2047,12933
2048,8622
2052,95677
2053,57406
2054,38270
2082,11565
2083,6939
2084,4626
2100,150834
2101,90500
2102,60333
2110,2997
2111,1798
2112,1198
2122,50528
2123,30317
2124,20211
2284,6829
2285,4097
2286,2731
2949,1889641
2950,1133785
2951,755856
2965,10272614
2966,6163568
2967,4109045
2974,7527
2975,4516
2976,3010
3174,506197
3175,303718
3176,202478
3383,3779283
3384,2267570
3385,1511713
3412,3779283
3413,2267570
3414,1511713
3440,10020
3441,6012
3442,4008
3541,1820321
3542,1092192
3543,728128
